slug,category_id,products_assigned,real_a_links_static_html,pct_linked,needs_pagination_candidate
novedades,novedades,269,12,4.5%,true
boligrafos-publicitarios,escritura,171,12,7.0%,true
mochilas-y-maletines-personalizados,maletines,128,12,9.4%,true
tecnologia-promocional,tecnologia,125,12,9.6%,true
tomatodos-y-botilitos-personalizados,tomatodos-botilitos,114,12,10.5%,true
precio-bomba,precio-bomba,110,12,10.9%,true
ecologia,ecologia,96,12,12.5%,true
hogar,hogar,84,12,14.3%,true
articulos-de-oficina-personalizados,oficina,81,12,14.8%,true
medicos,medicos,67,12,17.9%,true
produccion-nacional,produccion-nacional,57,12,21.1%,true
variedades,variedades,50,12,24.0%,true
deportes,deportes,49,12,24.5%,true
master-line,master-line,48,12,25.0%,true
mugs-y-termos-personalizados,mugs,46,12,26.1%,true
econature,econature,45,12,26.7%,true
infantil,infantil,45,12,26.7%,true
bar-y-vino,bar-y-vino,44,12,27.3%,true
iluminacion,iluminacion,44,12,27.3%,true
juegos,juegos,44,12,27.3%,true
paraguas,paraguas,41,12,29.3%,true
herramientas,herramientas,38,12,31.6%,true
antiestres,antiestres,32,12,37.5%,true
cuidado-personal,cuidado-personal,30,12,40.0%,true
llaveros-personalizados,llaveros,26,12,46.2%,true
relojes,relojes,26,12,46.2%,true
automovil,automovil,22,12,54.5%,false
bicicleta,bicicleta,21,12,57.1%,false
vasos-personalizados,vasos-personalizados,18,12,66.7%,false
memorias-usb-personalizadas,memorias-usb,16,12,75.0%,false
antimicrobianos,antimicrobianos,10,10,100.0%,false
golf,golf,9,9,100.0%,false
gorras-personalizadas,gorras,9,9,100.0%,false
termos-personalizados,termos-personalizados,8,8,100.0%,false
reflectivos,reflectivos,6,6,100.0%,false
calculadoras,calculadoras,4,4,100.0%,false
camisetas-y-confeccion-corporativa,confeccion,3,3,100.0%,false
