fecha,sin_indexar,indexadas,impresiones,nota
2026-04-19,16,18,2,
2026-04-20,18,17,3,
2026-04-21,18,17,23,
2026-04-22,18,17,16,
2026-04-23,18,17,5,
2026-04-24,19,16,5,
2026-04-25,19,16,5,
2026-04-26,19,16,8,
2026-04-27,2333,17,4,"Salto brusco de 19 a 2333 sin indexar: coincide con una carga o migracion masiva de productos, no con un error nuevo"
2026-04-28,2333,17,12,
2026-04-29,2333,17,8,
2026-04-30,2333,17,21,
2026-05-01,2333,17,2,
2026-05-02,2333,17,9,
2026-05-03,2333,17,1,
2026-05-04,2337,16,7,
2026-05-05,2337,16,3,
2026-05-06,2337,16,8,
2026-05-07,2337,16,14,
2026-05-08,2333,20,13,
2026-05-09,2333,20,18,
2026-05-10,2333,20,16,
2026-05-11,2323,31,4,
2026-05-12,2323,31,16,
2026-05-13,2323,31,24,
2026-05-14,2323,31,6,
2026-05-15,2318,36,22,
2026-05-16,2318,36,9,
2026-05-17,2318,36,3,
2026-05-18,1022,1333,5,"Caida grande de 2318 a 1022: consistente con progreso real de indexacion (indexadas sube de 36 a 1333 el mismo dia)"
2026-05-19,1022,1333,9,
2026-05-20,1022,1333,39,
2026-05-21,1022,1333,25,
2026-05-22,940,1416,15,
2026-05-23,940,1416,19,
2026-05-24,940,1416,24,
2026-05-25,894,1462,35,
2026-05-26,894,1462,76,
2026-05-27,894,1462,32,
2026-05-28,894,1462,62,
2026-05-29,888,1468,20,
2026-05-30,888,1468,25,
2026-05-31,888,1468,26,
2026-06-01,800,1555,19,
2026-06-02,800,1555,35,
2026-06-03,800,1555,42,
2026-06-04,800,1555,6,
2026-06-05,808,1580,4,
2026-06-06,808,1580,20,
2026-06-07,808,1580,13,
2026-06-08,791,1597,7,
2026-06-09,791,1597,17,
2026-06-10,791,1597,28,
2026-06-11,791,1597,4,
2026-06-12,735,1621,14,
2026-06-13,735,1621,17,
2026-06-14,735,1621,19,
2026-06-15,735,1621,12,
2026-06-16,735,1621,30,
2026-06-17,735,1621,5,
2026-06-18,735,1621,2,
2026-06-19,735,1621,6,
2026-06-20,735,1621,51,
2026-06-21,735,1621,17,
2026-06-22,735,1621,26,
2026-06-23,735,1621,22,
2026-06-24,735,1621,19,
2026-06-25,735,1621,36,
2026-06-26,735,1621,22,
2026-06-27,735,1621,28,
2026-06-28,735,1621,23,
2026-06-29,735,1621,29,
2026-06-30,593,1793,31,"Meseta estable de 593 comienza aqui y se mantiene hasta el ultimo dato disponible"
2026-07-01,593,1793,25,
2026-07-02,593,1793,33,
2026-07-03,593,1793,27,
2026-07-04,593,1793,26,
2026-07-05,593,1793,33,
2026-07-06,593,1793,32,
2026-07-07,593,1793,66,
2026-07-08,593,1793,44,
2026-07-09,593,1793,41,"CORRECCION vs noindex.md: la fuente Grafico.csv NO termina el 2026-06-16 como afirma el brief; el ultimo dato real es este, 2026-07-09. Los 593 URL sin indexar llevan estables desde 2026-06-30 (11 dias corridos al cierre del export), consistente con el resumen agregado de Problemas criticos.csv (593 = 373+23+7+85+1+104)."
