source,target,gsc_impressions,gsc_clicks,gsc_position,verified
/productos/set-destornillador-pistol,/categorias/herramientas/,28,1,5.39,true
/productos/portacomida-produccion-nacional,/productos/portacomida-produccion-nacional-4857/,36,0,5.42,true
/productos/canguro-dior,/productos/canguro-dior-9823/,31,0,8.55,true
/productos/bola-para-mascotas,/productos/bola-para-mascotas-10979/,28,0,4.32,true
/productos/copa-para-vino-7oz-produccion-nacional,/productos/copa-para-vino-7oz-produccion-nacional-2007/,24,0,7.08,true
/productos-promocionales-colombia/cali,/productos-promocionales-ecuador/,20,0,19.6,true
/productos/aplausometro-redondo-produccion-nacional,/productos/aplausometro-redondo-produccion-nacional-5685/,19,0,5.53,true
/productos/resaltador-magico-en-cera,/productos/resaltador-magico-en-cera-4672/,17,0,6.12,true
/productos/speaker-bluetooth-con-lampara-oferta,/productos/speaker-bluetooth-con-lampara-oferta-9579/,16,0,6.25,true
/productos/speaker-bluetooth-barack,/productos/speaker-bluetooth-barack-8135/,14,0,5.64,true
/productos/linterna-cob-power,/productos/linterna-cob-power-9544/,13,0,7.31,true
/productos/llavero-ml-356,/productos/llavero-ml-356-8039/,12,0,5.42,true
/productos/rastreador-airtag-boomtag-nuevo,/productos/rastreador-airtag-boomtag-nuevo-13210/,12,0,6.83,true
/productos/floyd-stylus,/productos/floyd-stylus-5837/,7,0,3,true
/productos/audifonos-boom-precio-bomba,/productos/audifonos-boom-precio-bomba-5657/,7,0,9.29,true
/productos/llavero-destapador-campello,/productos/llavero-destapador-campello-4808/,6,0,24.83,true
/productos/organizador-multiusos-con-esterilizador-uvc-led-oferta,/productos/organizador-multiusos-con-esterilizador-uvc-led-oferta-9494/,5,0,8,true
/productos/mouse-pad-vaniat,/productos/mouse-pad-vaniat-9862/,3,0,6,true
/productos/medidor-de-presion-para-neumaticos-nuevo,/productos/medidor-de-presion-para-neumaticos-nuevo-13297/,2,0,8.5,true
/productos/vuvuzela-colombia-produccion-nacional-5682,/productos/vuvuzela-produccion-nacional-5682/,2,0,10,true
/productos/boligrafo-flaggy-colombia-13287,/productos/boligrafo-flaggy-13287/,1,0,6,true
/productos/bolsa-en-cambrel-arcadia-para-sublimacion-nuevo-13591-2023,/productos/bolsa-en-cambrel-arcadia-para-sublimacion-nuevo-13591/,1,0,10,true
/productos/sticky-set-leader-eco,/productos/sticky-set-leader-eco-3382/,1,0,10,true
