url,clicks,impressions,ctr,position,bucket,reason
https://www.kronosolopromocionales.com/,35,952,3.68%,19.11,B,"Subida de ranking (11-20)"
https://kronosolopromocionales.com/,7,32,21.88%,9.44,E,"URL no canónica, antigua o redirigida"
https://www.kronosolopromocionales.com/productos-promocionales-ecuador/cuenca/,4,25,16%,8.4,A,"Posición top10"
https://www.kronosolopromocionales.com/categorias/boligrafos-publicitarios/,2,46,4.35%,36.43,C,"Construcción de autoridad (21-50)"
https://www.kronosolopromocionales.com/categorias/antiestres/,2,24,8.33%,14.46,B,"Subida de ranking (11-20)"
https://www.kronosolopromocionales.com/productos-promocionales-ecuador/ambato/,2,17,11.76%,5,A,"Posición top10"
http://kronosolopromocionales.com/,2,15,13.33%,4.13,E,"URL no canónica, antigua o redirigida"
https://www.kronosolopromocionales.com/productos/juego-ruleta-nuevo-13331/,2,11,18.18%,8.64,A,"Posición top10"
https://www.kronosolopromocionales.com/categorias/memorias-usb-personalizadas/,2,7,28.57%,9.86,A,"Posición top10"
https://www.kronosolopromocionales.com/productos/calendario-perpetuo-wood-9983/,2,5,40%,10.4,B,"Subida de ranking (11-20)"
https://www.kronosolopromocionales.com/regalos-corporativos/,1,71,1.41%,30.45,C,"Construcción de autoridad (21-50)"
https://www.kronosolopromocionales.com/categorias/mugs-y-termos-personalizados/,1,56,1.79%,10.66,B,"Subida de ranking (11-20)"
https://www.kronosolopromocionales.com/productos/set-destornillador-pistol/,1,28,3.57%,5.39,E,"URL no canónica, antigua o redirigida"
https://www.kronosolopromocionales.com/blog/boligrafos-promocionales-personalizados-guia-empresas-ecuador/,1,25,4%,6.6,A,"Posición top10 con CTR bajo — oportunidad de CTR inmediata"
https://www.kronosolopromocionales.com/blog/cuanto-cuestan-los-articulos-promocionales-personalizados-ecuador/,1,24,4.17%,6.21,A,"Posición top10 con CTR bajo — oportunidad de CTR inmediata"
https://www.kronosolopromocionales.com/productos-promocionales-ecuador/manta/,1,21,4.76%,7.81,A,"Posición top10 con CTR bajo — oportunidad de CTR inmediata"
https://www.kronosolopromocionales.com/productos/llavero-bamboo-round-13494/,1,10,10%,6.9,A,"Posición top10"
https://www.kronosolopromocionales.com/productos/cargador-inalambrico-bamboo-clock-13404/,1,5,20%,4.2,A,"Posición top10"
https://www.kronosolopromocionales.com/productos/audifonos-bluetooth-soccer-ball-13385/,1,5,20%,4.8,A,"Posición top10"
https://www.kronosolopromocionales.com/productos/gel-antibacterial-300ml-8548/,1,5,20%,18.6,B,"Subida de ranking (11-20)"
https://www.kronosolopromocionales.com/productos/cargador-inalambrico-bamboo-square-oferta-9979/,1,4,25%,2.75,A,"Posición top10"
https://www.kronosolopromocionales.com/productos/set-de-herramientas-en-madera-9534/,1,4,25%,3.5,A,"Posición top10"
https://www.kronosolopromocionales.com/productos/set-de-vino-en-bambu-ii-9719/,1,4,25%,6,A,"Posición top10"
https://www.kronosolopromocionales.com/productos/speaker-bluetooth-beach-35-boompods-13213/,1,4,25%,6.5,A,"Posición top10"
