query,clicks,impressions,ctr,position,bucket,reason
"regalos corporativos ecuador",1,20,5%,32.25,C,"Construcción de autoridad (21-50)"
"regalos corporativos quito",1,15,6.67%,44.93,C,"Construcción de autoridad (21-50)"
"boligrafos promocionales",1,3,33.33%,7.33,A,"Top10"
"artículos promocionales",0,94,0%,48.84,C,"Construcción de autoridad (21-50)"
"promocionales",0,74,0%,55.61,D,"Baja prioridad (posición >50)"
"articulos de promocion y merchandising",0,65,0%,67.75,D,"Baja prioridad (posición >50)"
"articulos promocionales",0,42,0%,51.88,D,"Baja prioridad (posición >50)"
"promocionales ecuador",0,33,0%,29.27,C,"Construcción de autoridad (21-50)"
"regalos corporativos",0,23,0%,50.22,D,"Baja prioridad (posición >50)"
"boligrafos",0,16,0%,63.88,D,"Baja prioridad (posición >50)"
"promocionales para empresas",0,15,0%,60.27,D,"Baja prioridad (posición >50)"
"productos publicitarios en cali",0,14,0%,21,C,"Construcción de autoridad (21-50)"
"promocionales quito",0,9,0%,35,C,"Construcción de autoridad (21-50)"
"llaveros",0,9,0%,68.44,D,"Baja prioridad (posición >50)"
"llaveros personalizados",0,8,0%,49.75,C,"Construcción de autoridad (21-50)"
"artículos publicitarios",0,8,0%,59.25,D,"Baja prioridad (posición >50)"
"regalos corporativos para empresas",0,7,0%,12.57,B,"Subida de ranking (11-20)"
"promocionales corporativos",0,6,0%,8.67,A,"Top10"
"regalo corporativo",0,6,0%,52.67,D,"Baja prioridad (posición >50)"
"regalos corporativos zaragoza",0,6,0%,73.17,D,"Baja prioridad (posición >50)"
"articulos promocionales quito",0,5,0%,44.4,C,"Construcción de autoridad (21-50)"
"regalos empresariales",0,5,0%,58.4,D,"Baja prioridad (posición >50)"
"antiestres",0,4,0%,53.5,D,"Baja prioridad (posición >50)"
"articulos promocionales corporativos",0,3,0%,10,A,"Top10"
"artículos promocionales en cali",0,3,0%,21,C,"Construcción de autoridad (21-50)"
"canguro dior",0,3,0%,25,C,"Construcción de autoridad (21-50)"
"termos personalizados",0,3,0%,35.33,C,"Construcción de autoridad (21-50)"
"boligrafos personalizados",0,3,0%,37,C,"Construcción de autoridad (21-50)"
"kit de regalos empresariales",0,3,0%,44.33,C,"Construcción de autoridad (21-50)"
"camisetas empresariales",0,3,0%,57,D,"Baja prioridad (posición >50)"
"vaso circular",0,2,0%,6.5,A,"Top10"
"econature",0,2,0%,7,A,"Top10"
"merchandising empresarial",0,2,0%,7.5,A,"Top10"
"precio promocional",0,2,0%,8,A,"Top10"
"termos con logo",0,2,0%,8,A,"Top10"
"resaltador de cera",0,2,0%,9.5,A,"Top10"
"ideas de regalos corporativos de fin de año",0,2,0%,11,B,"Subida de ranking (11-20)"
"kick auricular",0,2,0%,11.5,B,"Subida de ranking (11-20)"
"regalos corporativos guayaquil",0,2,0%,28.5,C,"Construcción de autoridad (21-50)"
"color en regalos",0,2,0%,39.5,C,"Construcción de autoridad (21-50)"
"llaveros personalizados quito",0,2,0%,44,C,"Construcción de autoridad (21-50)"
"marcador blanco borrable",0,2,0%,47,C,"Construcción de autoridad (21-50)"
"camiseta empresarial",0,2,0%,53,D,"Baja prioridad (posición >50)"
"llaveros destapadores",0,2,0%,60.5,D,"Baja prioridad (posición >50)"
"calculadoras personalizadas",0,1,0%,1,A,"Top10"
"k s",0,1,0%,1,A,"Top10"
"ks promotion",0,1,0%,1,A,"Top10"
"merchandising corporativo",0,1,0%,1,A,"Top10"
"eco nature",0,1,0%,2,A,"Top10"
"promocionales para medicos",0,1,0%,2,A,"Top10"
"boligrafo promocional",0,1,0%,4,A,"Top10"
"boligrafos corporativos",0,1,0%,5,A,"Top10"
"boligrafos publicitarios",0,1,0%,5,A,"Top10"
"productos promocionales ecologicos",0,1,0%,5,A,"Top10"
"promocionales ecologicos",0,1,0%,5,A,"Top10"
"calculadoras publicitarias",0,1,0%,6,A,"Top10"
"canguro de nylon",0,1,0%,6,A,"Top10"
"memorias personalizadas",0,1,0%,6,A,"Top10"
"promocionales cali",0,1,0%,7,A,"Top10"
"detalles promocionales",0,1,0%,8,A,"Top10"
"llaveros para empresas",0,1,0%,8,A,"Top10"
"material promocional para empresas",0,1,0%,8,A,"Top10"
"regalos promocionales",0,1,0%,8,A,"Top10"
"vinnie cafe",0,1,0%,8,A,"Top10"
"camiseta corporativa",0,1,0%,9,A,"Top10"
"memorias usb personalizadas",0,1,0%,9,A,"Top10"
"merchandising ecuador",0,1,0%,9,A,"Top10"
"precio ecuador",0,1,0%,9,A,"Top10"
"bolsa metalizado",0,1,0%,10,A,"Top10"
"empresas de merchandising",0,1,0%,10,A,"Top10"
"merchandising empresas",0,1,0%,10,A,"Top10"
"mugs metalicos",0,1,0%,10,A,"Top10"
"soccer grill",0,1,0%,10,A,"Top10"
"empresas promocionales",0,1,0%,11,B,"Subida de ranking (11-20)"
"mug base de corcho",0,1,0%,11,B,"Subida de ranking (11-20)"
"urban travel",0,1,0%,12,B,"Subida de ranking (11-20)"
"no me acuerdo la contraseña",0,1,0%,14,B,"Subida de ranking (11-20)"
"artículos promocionales para empresas ecuador",0,1,0%,20,B,"Subida de ranking (11-20)"
"regalos corporativos elegantes",0,1,0%,20,B,"Subida de ranking (11-20)"
"llaveros de casco",0,1,0%,24,C,"Construcción de autoridad (21-50)"
"eco promocionales",0,1,0%,27,C,"Construcción de autoridad (21-50)"
"productos promocionales",0,1,0%,28,C,"Construcción de autoridad (21-50)"
"termo personalizado",0,1,0%,32,C,"Construcción de autoridad (21-50)"
"termos personalizados guayaquil",0,1,0%,33,C,"Construcción de autoridad (21-50)"
"camisetas corporativas",0,1,0%,37,C,"Construcción de autoridad (21-50)"
"llaveros personalizados guayaquil",0,1,0%,39,C,"Construcción de autoridad (21-50)"
"protector solar carros",0,1,0%,41,C,"Construcción de autoridad (21-50)"
"articulos personalizados",0,1,0%,43,C,"Construcción de autoridad (21-50)"
"articulos promocionales ecuador",0,1,0%,43,C,"Construcción de autoridad (21-50)"
"llaveros personalizados ecuador",0,1,0%,43,C,"Construcción de autoridad (21-50)"
"mug",0,1,0%,49,C,"Construcción de autoridad (21-50)"
"llaveros cascos",0,1,0%,52,D,"Baja prioridad (posición >50)"
"termos para personalizar",0,1,0%,54,D,"Baja prioridad (posición >50)"
"accesorios de mercado personalizados",0,1,0%,60,D,"Baja prioridad (posición >50)"
"artículos promocionales quito",0,1,0%,60,D,"Baja prioridad (posición >50)"
"articulos publicitarios",0,1,0%,61,D,"Baja prioridad (posición >50)"
"productos para su oficina",0,1,0%,62,D,"Baja prioridad (posición >50)"
"gel antibacterial publicitario",0,1,0%,65,D,"Baja prioridad (posición >50)"
"regalos promocionales de empresa",0,1,0%,69,D,"Baja prioridad (posición >50)"
"marketing productos ecologicos",0,1,0%,71,D,"Baja prioridad (posición >50)"
