slug,name,id_prefix_novedades,suggested_category,matched_rule
candado-de-clave-tsa-nuevo-13537,Candado de Clave Tsa Nuevo,true,hogar,\bcandado\b|\bportarretrato\b|\bjoyero\b|\balcancia\b|\bcosturero\b|\bset de viaje\b|\bmini frascos travel\b|\bidentificador de maletas\b|\btravel lock\b|\bcobija\b|\bmanta de viaje\b|\bset de bano\b|\bset de botellas de viaje\b
rastreador-chili-card-nuevo-13533,Rastreador Chili Card Nuevo,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
mug-metalico-para-sublimacion-kup-550-ml-nuevo-13572,Mug Metálico Para Sublimacion Kup 550 ml Nuevo,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
morral-backpack-taos-nuevo-13585,Morral Backpack Taos Nuevo,true,mochilas-y-maletines-personalizados,\bmorral\b|\bbackpack\b|\bbolsa\b|\bsporty bag\b|\bmaletin\b|\bcosmetiquera\b|\bportadocumentos\b
morral-backpack-barbour-nuevo-13586,Morral Backpack Barbour Nuevo,true,mochilas-y-maletines-personalizados,\bmorral\b|\bbackpack\b|\bbolsa\b|\bsporty bag\b|\bmaletin\b|\bcosmetiquera\b|\bportadocumentos\b
mug-metalico-dewar-400-ml-nuevo-13577,Mug Metálico Dewar 400 ml Nuevo,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
bolsa-en-cambrel-con-fuelle-para-sublimacion-nuevo-13587,Bolsa en Cambrel Con Fuelle Para Sublimación Nuevo,true,mochilas-y-maletines-personalizados,\bmorral\b|\bbackpack\b|\bbolsa\b|\bsporty bag\b|\bmaletin\b|\bcosmetiquera\b|\bportadocumentos\b
bolsa-en-cambrel-arcadia-para-sublimacion-nuevo-13591,Bolsa en Cambrel Arcadia Para Sublimación Nuevo,true,mochilas-y-maletines-personalizados,\bmorral\b|\bbackpack\b|\bbolsa\b|\bsporty bag\b|\bmaletin\b|\bcosmetiquera\b|\bportadocumentos\b
boligrafo-castell-nuevo-13588,Bolígrafo Castell Nuevo,true,boligrafos-publicitarios,\bboligrafos?\b|\broller\b|\bportaminas\b
nevera-cooler-origin-rpet-nuevo-13561,Nevera Cooler Origin Rpet Nuevo,true,hogar,\bnevera\b|\bcooler\b
portarretrato-kids-nuevo-13563,Portarretrato Kids Nuevo,true,hogar,\bcandado\b|\bportarretrato\b|\bjoyero\b|\balcancia\b|\bcosturero\b|\bset de viaje\b|\bmini frascos travel\b|\bidentificador de maletas\b|\btravel lock\b|\bcobija\b|\bmanta de viaje\b|\bset de bano\b|\bset de botellas de viaje\b
pila-recargable-byte-2200-mah-nuevo-13565,Pila Recargable Byte 2200 Mah Nuevo,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
pila-recargable-kode-5000-mah-rpet-nuevo-13566,Pila Recargable Kode 5000 Mah Rpet Nuevo,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
cepillo-de-dientes-bambu-nuevo-13567,Cepillo de Dientes Bambú Nuevo,true,cuidado-personal,\bcepillo de dientes\b|\bcepillo exfoliante\b|\bmanicure\b|\bmaquillaje\b|\bespejo\b|\bset de brochas\b|\btoalla\b|\brepelente\b|\bmasajeador\b
cepillo-de-dientes-travel-nuevo-13568,Cepillo de Dientes Travel Nuevo,true,cuidado-personal,\bcepillo de dientes\b|\bcepillo exfoliante\b|\bmanicure\b|\bmaquillaje\b|\bespejo\b|\bset de brochas\b|\btoalla\b|\brepelente\b|\bmasajeador\b
speaker-bluetooth-soccer-man-nuevo-13389,Speaker Bluetooth Soccer Man Nuevo,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
cobija-en-fleece-con-velcro-nuevo-6313,Cobija en Fleece Con Velcro Nuevo,true,hogar,\bcandado\b|\bportarretrato\b|\bjoyero\b|\balcancia\b|\bcosturero\b|\bset de viaje\b|\bmini frascos travel\b|\bidentificador de maletas\b|\btravel lock\b|\bcobija\b|\bmanta de viaje\b|\bset de bano\b|\bset de botellas de viaje\b
cargador-inalambrico-element-nuevo-13541,Cargador Inalámbrico Element Nuevo,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
set-vera-nuevo-13542,Set Vera Nuevo,true,REQUIRES_REVIEW,
cepillo-exfoliante-skin-nuevo-13543,Cepillo Exfoliante Skin Nuevo,true,cuidado-personal,\bcepillo de dientes\b|\bcepillo exfoliante\b|\bmanicure\b|\bmaquillaje\b|\bespejo\b|\bset de brochas\b|\btoalla\b|\brepelente\b|\bmasajeador\b
set-de-cubiertos-craft-nuevo-13545,Set de Cubiertos Craft Nuevo,true,hogar,\bset de cocina\b|\bportacomidas\b|\bcoge ollas\b|\bmolde para paletas\b|\bset de cubiertos\b|\bventilador\b
joyero-en-algodon-200-gr-nuevo-13547,Joyero en Algodón (200 Gr) Nuevo,true,hogar,\bcandado\b|\bportarretrato\b|\bjoyero\b|\balcancia\b|\bcosturero\b|\bset de viaje\b|\bmini frascos travel\b|\bidentificador de maletas\b|\btravel lock\b|\bcobija\b|\bmanta de viaje\b|\bset de bano\b|\bset de botellas de viaje\b
speaker-bluetooth-soccer-ball-13276,Speaker Bluetooth Soccer Ball,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
speaker-bluetooth-aqua-13277,Speaker Bluetooth Aqua,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
puerto-usb-syntra-13303,Puerto Usb Syntra,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
mug-metalico-vinga-eco-350-ml-13313,Mug Metálico Vinga Eco 350 ml,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
pila-recargable-digital-display5000-mah-13316,Pila Recargable Digital Display5000 Mah,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
pila-recargable-nomu-5000mah-13317,Pila Recargable Nomu 5000mah,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
set-de-herramientas-hammer-13325,Set de Herramientas Hammer,true,herramientas,\bherramient|\bmartillo\b
set-de-herramientas-bamboo-13326,Set de Herramientas Bamboo,true,herramientas,\bherramient|\bmartillo\b
cargador-inalambrico-heston-13328,Cargador Inalambrico Heston,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
portacomidas-wing-eco-13329,Portacomidas Wing Eco,true,hogar,\bset de cocina\b|\bportacomidas\b|\bcoge ollas\b|\bmolde para paletas\b|\bset de cubiertos\b|\bventilador\b
mini-herramientero-kronus-13335,Mini Herramientero Kronus,true,herramientas,\bherramient|\bmartillo\b
audifonos-tekflow-13339,Audifonos Tekflow,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
llavero-metro-tools-13351,Llavero Metro Tools,true,llaveros-personalizados,\bllavero
llavero-metro-3-1-13354,Llavero Metro 3-1,true,llaveros-personalizados,\bllavero
mug-plastico-voltra-400ml-13247,Mug Plastico Voltra 400ml,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
portacomidas-stora-eco-13242,Portacomidas Stora Eco,true,hogar,\bset de cocina\b|\bportacomidas\b|\bcoge ollas\b|\bmolde para paletas\b|\bset de cubiertos\b|\bventilador\b
mug-plastico-glimm-eco-300ml-13245,Mug Plastico Glimm Eco 300ml,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
molde-para-paletas-13270,Molde Para Paletas,true,hogar,\bset de cocina\b|\bportacomidas\b|\bcoge ollas\b|\bmolde para paletas\b|\bset de cubiertos\b|\bventilador\b
set-glim-13272,Set Glim,true,REQUIRES_REVIEW,
set-sos-13273,Set Sos,true,REQUIRES_REVIEW,
llavero-destapador-truck-13257,Llavero Destapador Truck,true,llaveros-personalizados,\bllavero
llavero-destapador-motorbike-13258,Llavero Destapador Motorbike,true,llaveros-personalizados,\bllavero
llavero-destapador-broq-13259,Llavero Destapador Broq,true,llaveros-personalizados,\bllavero
mug-ethio-cofee-473-ml-13219,Mug Ethio Cofee 473 ml,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
multicargador-con-puertos-fast-35w-13225,Multicargador Con Puertos Fast 35w,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
cooler-para-botellas-13232,Cooler Para Botellas,true,hogar,\bnevera\b|\bcooler\b
mug-metalico-lumix-600-ml-13237,Mug Metálico Lumix 600 ml,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
set-de-mugs-metalicos-stylor-200-ml-13238,Set de Mugs Metálicos Stylor 200 ml,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
mini-aspiradora-lautus-13515,Mini Aspiradora Lautus,true,REQUIRES_REVIEW,
mini-herramientero-clipin-13518,Mini Herramientero Clipin,true,herramientas,\bherramient|\bmartillo\b
destapador-house-bamboo-13519,Destapador House Bamboo,true,REQUIRES_REVIEW,
mug-metalico-lumora-300ml-13524,Mug Metálico Lumora 300ml,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
mug-plastico-atom-370-ml-produccion-nacional-13530,Mug Plastico Atom 370 ml - Producción Nacional,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
cable-multicargador-spectra-13390,Cable Multicargador Spectra,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
mouse-inalambrico-zenith-eco-13391,Mouse Inalambrico Zenith Eco,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
soporte-para-movil-nyro-13392,Soporte Para Movil Nyro,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
soporte-para-movil-chair-13393,Soporte Para Movil Chair,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
soporte-para-celular-magmount-eco-13397,Soporte Para Celular Magmount Eco,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
cargador-inalambrico-con-tablero-13388,Cargador Inalámbrico Con Tablero,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
cable-multicargador-fast-65w-13364,Cable Multicargador Fast 65w,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
cable-multicargador-eco-fast-65w-13365,Cable Multicargador Eco Fast 65w,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
mug-metalico-terra-720ml-13367,Mug Metálico Terra 720ml,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
portacomidas-novus-13368,Portacomidas Novus,true,hogar,\bset de cocina\b|\bportacomidas\b|\bcoge ollas\b|\bmolde para paletas\b|\bset de cubiertos\b|\bventilador\b
portacomidas-triton-13369,Portacomidas Triton,true,hogar,\bset de cocina\b|\bportacomidas\b|\bcoge ollas\b|\bmolde para paletas\b|\bset de cubiertos\b|\bventilador\b
portacomidas-jolt-13370,Portacomidas Jolt,true,hogar,\bset de cocina\b|\bportacomidas\b|\bcoge ollas\b|\bmolde para paletas\b|\bset de cubiertos\b|\bventilador\b
mug-metalico-micron-800ml-13371,Mug Metálico Micron 800ml,true,mugs-y-termos-personalizados,\bmugs?\b|\btermos?\b|\bcafetera\b
audifonos-bluetooth-con-traductor-13379,Audífonos Bluetooth Con Traductor,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
audifonos-bluetooth-kynor-13381,Audífonos Bluetooth Kynor,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
audifonos-bluetooth-screen-13382,Audífonos Bluetooth Screen,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
audifonos-bluetooth-devola-13383,Audífonos Bluetooth Devola,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
mini-proyector-lcd-13384,Mini Proyector Lcd,true,tecnologia-promocional,\bspeaker\b|\baudifono|\bcargador inalambrico\b|\bmulticargador\b|\bpuerto usb\b|\bmouse\b|\brastreador\b|\bproyector\b|\bpila recargable\b|\bpowerbank\b|\bsoporte para (movil|celular)\b|\bportacelular\b|\bfunda para mouse\b|\bclip magnetico\b|\bcordon.*portacelular\b|\bcable tipo c\b
