sku,slug_a,slug_b,name_similarity,content_similarity,same_images,same_category,material_difference,spec_difference,gsc_a,gsc_b,classification,suggested_canonical,suggested_redirect,confidence,requires_human_review
13296,mini-linterna-ozen-nuevo-13296,mini-linterna-ozen-13296,1.000,0.722,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,mini-linterna-ozen-13296,mini-linterna-ozen-nuevo-13296,0.80,true
13297,medidor-de-presion-para-neumaticos-nuevo-13297,medidor-de-presion-para-neumaticos-13297,1.000,0.711,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,medidor-de-presion-para-neumaticos-13297,medidor-de-presion-para-neumaticos-nuevo-13297,0.80,true
13298,speaker-bluetooth-novark-nuevo-13298,speaker-bluetooth-novark-13298,1.000,0.775,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,speaker-bluetooth-novark-13298,speaker-bluetooth-novark-nuevo-13298,0.80,true
13299,teclado-bluetooth-orbi-nuevo-13299,teclado-bluetooth-orbi-13299,1.000,0.743,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,teclado-bluetooth-orbi-13299,teclado-bluetooth-orbi-nuevo-13299,0.80,true
13300,mouse-inalambrico-lumo-nuevo-13300,mouse-inalambrico-lumo-13300,1.000,0.718,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,mouse-inalambrico-lumo-13300,mouse-inalambrico-lumo-nuevo-13300,0.80,true
13213,speaker-bluetooth-beach-35-boompods-nuevo-13213,speaker-bluetooth-beach-35-boompods-13213,1.000,0.812,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,speaker-bluetooth-beach-35-boompods-13213,speaker-bluetooth-beach-35-boompods-nuevo-13213,0.95,true
13210,rastreador-airtag-boomtag-nuevo-13210,rastreador-airtag-boomtag-13210,1.000,0.716,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,rastreador-airtag-boomtag-13210,rastreador-airtag-boomtag-nuevo-13210,0.95,true
13211,rastreador-airtag-boomcard-nuevo-13211,rastreador-airtag-boomcard-13211,1.000,0.754,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,rastreador-airtag-boomcard-13211,rastreador-airtag-boomcard-nuevo-13211,0.95,true
13212,audifonos-bluetooth-anc-nuevo-13212,audifonos-bluetooth-anc-13212,1.000,0.761,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,audifonos-bluetooth-anc-13212,audifonos-bluetooth-anc-nuevo-13212,0.95,true
10690,bolsa-en-algodon-botanik-10690,bolsa-en-algodon-botanik-100gr-10690,0.875,0.769,true,false,false,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.75,true
10691,bolsa-en-algodon-con-fuelle-10691,bolsa-en-algodon-con-fuelle-100gr-10691,0.885,0.797,true,false,false,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.75,true
5693,paraguas-trendy-poliester-27-fibra-de-vidrio-5693,paraguas-trendy-poliester-27-5693,0.783,0.786,true,true,true,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.71,true
1085,paraguas-golf-cuadrado-30-oferta-1085,paraguas-golf-cuadrado-30-1085,1.000,0.829,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.95,true
9217,paraguas-23-roma-urban-travel-9217,paraguas-23-9217,0.541,0.771,true,true,unknown,unknown,0,0,INSUFFICIENT_DATA,,,0.30,true
9218,paraguas-27-gentle-urban-travel-9218,paraguas-27-9218,0.513,0.729,true,true,unknown,unknown,0,0,INSUFFICIENT_DATA,,,0.30,true
9753,set-enfriador-de-vino-chill-precio-bomba-9753,set-enfriador-de-vino-chill-9753,0.813,0.766,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.73,true
13262,resaltadores-jeringa-nuevo-13262,resaltadores-jeringa-13262,1.000,0.752,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,resaltadores-jeringa-13262,resaltadores-jeringa-nuevo-13262,0.95,true
6048,estuche-doble-regal-6048,estuche-doble-regal-prod-nacional-6048,0.739,0.749,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.70,true
9680,set-de-cafe-eco-precio-bomba-9680,set-de-cafe-eco-9680,0.703,0.750,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.68,true
13294,boligrafo-scroll-nuevo-13294,boligrafo-scroll-13294,1.000,0.748,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,boligrafo-scroll-13294,boligrafo-scroll-nuevo-13294,0.95,true
7330,balmax-stylus-precio-bomba-7330,balmax-stylus-7330,0.667,0.753,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.67,true
6530,set-de-herramientas-motobike-6530,motobike-master-kit-la-herramienta-que-tu-moto-necesita-6530,0.611,0.737,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.64,true
10250,set-de-herramientas-con-lampara-led-precio-bomba-10250,set-de-herramientas-con-lampara-led-10250,0.827,0.766,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.73,true
7991,set-de-destornilladores-everest-precio-bomba-7991,set-de-destornilladores-everest-7991,0.807,0.742,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.72,true
10677,molde-de-silicona-ice-face-precio-bomba-10677,molde-de-silicona-ice-face-10677,0.769,0.709,true,false,false,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.71,true
13202,bbq-grill-soccer-cook-nuevo-13202,bbq-grill-soccer-cook-13202,1.000,0.731,true,true,unknown,unknown,0,0,EXACT_DUPLICATE,bbq-grill-soccer-cook-13202,bbq-grill-soccer-cook-nuevo-13202,0.95,true
13334,mini-herramientero-blazor-nuevo-13334,mini-herramientero-blazor-13334,1.000,0.758,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,mini-herramientero-blazor-13334,mini-herramientero-blazor-nuevo-13334,0.80,true
4727,memoria-usb-carabinero-precio-neto-4727,memoria-usb-carabinero-precio-neto-oferta-4727,1.000,0.759,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.80,true
5277,memoria-mini-usb-en-imitacion-cuero-precio-neto-5277,memoria-mini-usb-en-imitacion-cuero-precio-neto-oferta-5277,1.000,0.772,true,false,false,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.80,true
7987,memoria-usb-braxton-precio-neto-7987,memoria-usb-braxton-precio-neto-oferta-7987,1.000,0.709,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.80,true
6051,mini-libreta-duo-produccion-nacional-6051,mini-libreta-duo-produccion-nacional-ver-ref-bolian-6051,0.822,0.767,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.73,true
9132,llavero-pito-con-destapador-precio-bomba-9132,llavero-pito-con-destapador-9132,0.820,0.759,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.73,true
13366,pito-con-luz-vision-nuevo-13366,pito-con-luz-vision-13366,1.000,0.729,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,pito-con-luz-vision-13366,pito-con-luz-vision-nuevo-13366,0.80,true
9103,bolsa-en-algodon-corcho-9103,bolsa-en-algodon-corcho-135gr-9103,0.875,0.740,true,false,false,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.75,true
9725,sporty-bag-eco-yute-9725,sporty-bag-eco-yute-280gr-9725,0.857,0.769,true,false,false,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.74,true
10422,bolsa-holt-eco-10422,bolsa-holt-eco-120gr-10422,0.800,0.821,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.72,true
10367,bolsa-en-algodon-shopper-10367,bolsa-en-algodon-shopper-290gr-10367,0.880,0.773,true,false,false,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.75,true
11039,sporty-bag-cotton-ii-11039,sporty-bag-cotton-180gr-ii-11039,0.864,0.724,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.75,true
13500,cosmetiquera-terra-nuevo-13500,cosmetiquera-terra-13500,1.000,0.785,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,cosmetiquera-terra-13500,cosmetiquera-terra-nuevo-13500,0.80,true
13253,mini-bolsa-en-algodon-100gms-nuevo-13253,mini-bolsa-en-algodon-100gms-13253,1.000,0.759,true,false,false,unknown,0,0,LIKELY_DUPLICATE,mini-bolsa-en-algodon-100gms-13253,mini-bolsa-en-algodon-100gms-nuevo-13253,0.80,true
10725,morral-backpack-elegant-precio-bomba-10725,morral-backpack-elegant-10725,0.784,0.772,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.71,true
6926,trolley-morral-backpack-dilbert-precio-bomba-6926,trolley-morral-backpack-dilbert-6926,0.836,0.742,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.73,true
13308,portadocumentos-vintra-nuevo-13308,portadocumentos-vintra-13308,1.000,0.710,true,false,unknown,unknown,0,0,LIKELY_DUPLICATE,portadocumentos-vintra-13308,portadocumentos-vintra-nuevo-13308,0.80,true
13362,portadocumentos-de-viajes-y-de-cables-neox-rpet-nuevo-13362,portadocumentos-de-viajes-y-de-cables-neox-rpet-13362,1.000,0.756,true,false,false,unknown,0,0,LIKELY_DUPLICATE,portadocumentos-de-viajes-y-de-cables-neox-rpet-13362,portadocumentos-de-viajes-y-de-cables-neox-rpet-nuevo-13362,0.80,true
6322,botilito-en-pvc-curvy-525ml-produccion-nacional-6322,botilito-en-pvc-curvy-500ml-produccion-nacional-6322,0.925,0.800,true,true,false,true,0,0,LEGITIMATE_VARIANT,,,0.55,true
4439,botilito-sport-titan-650-ml-produccion-nacional-4439,botilito-sport-titan-690-ml-produccion-nacional-4439,0.949,0.836,true,true,unknown,true,0,0,LEGITIMATE_VARIANT,,,0.55,true
3742,botilito-pvc-mercury-850ml-precio-bomba-3742,botilito-pvc-mercury-850ml-3742,0.833,0.852,true,true,false,false,0,0,EXACT_DUPLICATE,REQUIERE_REVISION_MANUAL,REQUIERE_REVISION_MANUAL,0.93,true
